0,0,0,quantité,date
88,42,23,13,2019-12-17
89,10,25,34,2019-12-17
90,5,4,40,2019-12-17
91,39,26,41,2019-12-17
92,49,14,23,2019-12-17
93,50,9,39,2019-12-17
94,15,6,6,2019-12-18
95,16,8,35,2019-12-18
96,19,17,36,2019-12-18
97,5,13,38,2019-12-18
98,51,14,25,2019-12-18
99,30,8,44,2019-12-18
100,51,11,44,2019-12-18
101,52,14,27,2019-12-18
102,53,10,50,2019-12-18
103,5,15,3,2019-12-18
104,31,23,18,2019-12-18
105,54,29,13,2019-12-19
106,55,21,13,2019-12-19
107,26,6,32,2019-12-19
108,50,9,13,2019-12-19
109,17,14,29,2019-12-19
110,34,20,30,2019-12-19
111,56,13,48,2019-12-20
112,57,27,21,2019-12-20
113,4,20,6,2019-12-20
114,58,30,29,2019-12-20
115,50,5,33,2019-12-20
116,59,12,9,2019-12-20
117,34,28,11,2019-12-21
118,60,18,30,2019-12-21
119,3,1,39,2019-12-21
120,3,6,23,2019-12-21
121,61,9,50,2019-12-21
122,1,23,16,2019-12-21
123,62,31,23,2019-12-21
124,49,11,11,2019-12-21
125,14,20,20,2019-12-21
126,63,10,17,2019-12-21
127,15,13,4,2019-12-21
128,11,28,5,2019-12-22
129,55,9,41,2019-12-22
130,5,13,39,2019-12-22
131,18,5,49,2019-12-22
132,8,13,31,2019-12-22
133,46,26,30,2019-12-22
134,64,12,4,2019-12-22
135,10,28,6,2019-12-22
136,5,31,11,2019-12-22
137,5,30,19,2019-12-22
138,65,28,47,2019-12-22
139,54,28,48,2019-12-23
140,5,1,19,2019-12-23
141,16,12,11,2019-12-23
142,2,2,6,2019-12-23
143,23,14,20,2019-12-23
144,66,13,42,2019-12-23
145,67,28,45,2019-12-23
146,1,19,49,2019-12-23
147,39,15,14,2019-12-23
148,8,9,32,2019-12-23
149,2,13,15,2019-12-23
150,32,13,42,2019-12-23
151,5,14,25,2019-12-23
152,26,7,7,2019-12-24
153,55,13,27,2019-12-24
154,68,8,17,2019-12-24
155,53,2,2,2019-12-24
156,5,9,18,2019-12-24
157,60,15,31,2019-12-24
158,5,23,8,2019-12-24
159,8,15,1,2019-12-24
160,2,9,34,2019-12-25
161,23,27,37,2019-12-25
162,4,1,37,2019-12-25
163,2,20,17,2019-12-25
164,9,2,41,2019-12-25
165,26,8,27,2019-12-25
166,12,14,34,2019-12-25
167,66,7,5,2019-12-25
168,55,16,5,2019-12-25
169,10,28,6,2019-12-26
170,30,20,43,2019-12-26
171,52,10,17,2019-12-26
172,16,15,49,2019-12-26
173,19,23,26,2019-12-26
174,29,1,33,2019-12-26
175,69,15,14,2019-12-26
176,8,3,12,2019-12-26
177,4,18,15,2019-12-27
178,29,8,31,2019-12-27
179,19,7,22,2019-12-27
180,14,27,48,2019-12-27
181,17,13,19,2019-12-27
182,28,9,23,2019-12-27
183,22,14,36,2019-12-27
184,5,10,26,2019-12-28
185,22,8,32,2019-12-28
186,23,11,26,2019-12-28
187,59,6,24,2019-12-28
188,39,13,32,2019-12-28
189,55,14,46,2019-12-28
190,5,1,14,2019-12-28
191,30,28,40,2019-12-29
192,7,7,39,2019-12-29
193,11,1,46,2019-12-29
194,53,21,8,2019-12-29
195,24,10,6,2019-12-29
196,13,19,9,2019-12-29
197,3,1,13,2019-12-29
198,70,4,28,2019-12-29
199,50,17,34,2019-12-29
200,10,6,32,2019-12-29
201,5,1,2,2019-12-30
202,5,4,48,2019-12-30
203,68,28,47,2019-12-30
204,16,1,8,2019-12-30
205,49,17,43,2019-12-30
206,55,9,21,2019-12-30
207,71,6,43,2019-12-30
208,16,16,43,2019-12-31
209,45,28,45,2019-12-31
210,5,10,40,2019-12-31
211,72,20,49,2019-12-31
212,26,9,50,2019-12-31
213,73,1,41,2020-01-01
214,24,15,23,2020-01-01
215,3,13,23,2020-01-01
216,16,16,42,2020-01-01
217,8,21,18,2020-01-01
218,23,9,18,2020-01-01
219,71,28,8,2020-01-01
220,62,2,27,2020-01-02
221,16,31,18,2020-01-02
222,19,1,11,2020-01-02
223,56,24,10,2020-01-02
224,16,17,19,2020-01-02
225,57,9,23,2020-01-02
226,33,12,3,2020-01-02
227,16,6,32,2020-01-02
228,39,2,37,2020-01-02
229,8,23,31,2020-01-02
230,10,13,34,2020-01-02
231,40,1,19,2020-01-02
232,3,2,20,2020-01-03
233,3,1,17,2020-01-03
234,27,16,39,2020-01-03
235,44,23,9,2020-01-03
236,55,1,28,2020-01-03
237,13,16,39,2020-01-03
238,71,23,10,2020-01-03
239,5,13,23,2020-01-03
240,16,10,6,2020-01-04
241,74,4,1,2020-01-04
242,45,2,21,2020-01-04
243,8,15,45,2020-01-04
244,1,9,22,2020-01-04
245,13,15,50,2020-01-04
246,27,28,10,2020-01-04
247,5,14,37,2020-01-04
248,58,17,17,2020-01-04
249,5,28,50,2020-01-05
250,66,27,9,2020-01-05
251,5,1,7,2020-01-05
252,5,13,37,2020-01-05
253,54,7,27,2020-01-05
254,16,15,42,2020-01-05
255,5,29,26,2020-01-05
256,26,1,44,2020-01-05
257,4,31,17,2020-01-05
258,26,31,50,2020-01-05
259,22,28,34,2020-01-05
260,50,20,28,2020-01-06
261,16,1,41,2020-01-06
262,2,30,47,2020-01-06
263,10,6,13,2020-01-06
264,8,17,12,2020-01-07
265,62,8,21,2020-01-07
266,5,13,23,2020-01-07
267,8,12,29,2020-01-07
268,44,27,26,2020-01-07
269,8,4,45,2020-01-08
270,68,27,7,2020-01-08
271,75,9,23,2020-01-08
272,10,3,29,2020-01-08
273,3,6,3,2020-01-08
274,50,8,22,2020-01-08
275,63,13,34,2020-01-08
276,35,6,43,2020-01-09
277,3,1,37,2020-01-09
278,53,13,18,2020-01-09
279,42,17,22,2020-01-09
280,5,17,42,2020-01-09
281,34,9,37,2020-01-09
282,50,13,6,2020-01-09
283,31,6,23,2020-01-10
284,76,9,26,2020-01-10
285,16,27,5,2020-01-10
286,77,16,47,2020-01-10
287,8,6,15,2020-01-10
288,4,4,6,2020-01-10
289,8,16,10,2020-01-10
290,45,16,3,2020-01-10
291,67,10,23,2020-01-10
292,69,30,28,2020-01-11
293,33,4,49,2020-01-11
294,16,6,41,2020-01-11
295,35,16,5,2020-01-11
296,41,13,43,2020-01-11
297,4,6,10,2020-01-11
298,10,12,22,2020-01-12
299,5,13,46,2020-01-12
300,8,21,14,2020-01-12
301,2,4,5,2020-01-12
302,3,12,13,2020-01-12
303,46,3,30,2020-01-12
304,78,13,42,2020-01-12
305,71,16,18,2020-01-12
306,23,8,8,2020-01-13
307,11,3,24,2020-01-13
308,5,1,33,2020-01-13
309,50,8,23,2020-01-13
310,79,19,22,2020-01-13
311,16,14,16,2020-01-13
312,54,9,22,2020-01-13
313,59,18,10,2020-01-13
314,16,3,13,2020-01-13
315,3,28,41,2020-01-13
316,40,19,38,2020-01-14
317,5,13,18,2020-01-14
318,71,31,27,2020-01-14
319,42,19,8,2020-01-14
320,32,28,49,2020-01-14
321,56,27,15,2020-01-14
322,5,1,8,2020-01-14
323,5,6,35,2020-01-14
324,71,28,22,2020-01-15
325,24,16,34,2020-01-15
326,10,7,10,2020-01-15
327,27,9,21,2020-01-15
328,38,21,10,2020-01-15
329,7,6,19,2020-01-15
330,5,24,37,2020-01-15
331,38,26,26,2020-01-15
332,42,26,8,2020-01-15
333,5,7,47,2020-01-15
334,16,23,10,2020-01-15
335,42,6,4,2020-01-15
336,20,28,5,2020-01-15
337,26,4,8,2020-01-16
338,39,27,48,2020-01-16
339,16,10,11,2020-01-16
340,80,14,47,2020-01-16
341,5,4,37,2020-01-17
342,16,31,1,2020-01-17
343,81,7,24,2020-01-17
344,10,6,5,2020-01-17
345,26,3,2,2020-01-17
346,5,11,49,2020-01-17
347,39,17,31,2020-01-17
348,58,12,37,2020-01-18
349,8,4,37,2020-01-18
350,44,6,15,2020-01-18
351,40,9,11,2020-01-18
352,5,2,24,2020-01-19
353,25,3,24,2020-01-19
354,14,14,30,2020-01-19
355,5,28,14,2020-01-19
356,16,28,32,2020-01-19
357,5,28,13,2020-01-19
358,52,27,25,2020-01-20
359,47,25,28,2020-01-20
360,24,31,8,2020-01-20
361,82,14,28,2020-01-20
362,59,20,12,2020-01-20
363,83,19,19,2020-01-20
364,8,7,33,2020-01-20
365,26,6,34,2020-01-20
366,5,17,25,2020-01-20
367,24,13,49,2020-01-21
368,26,4,38,2020-01-21
369,4,29,45,2020-01-21
370,59,30,11,2020-01-21
371,16,1,33,2020-01-21
372,35,28,17,2020-01-21
373,19,28,3,2020-01-21
374,70,24,36,2020-01-21
375,80,4,13,2020-01-22
376,15,11,19,2020-01-22
377,84,28,39,2020-01-22
378,5,28,47,2020-01-22
379,26,27,7,2020-01-22
380,69,9,47,2020-01-22
381,63,8,12,2020-01-22
382,27,18,34,2020-01-22
383,18,17,4,2020-01-22
384,5,4,28,2020-01-22
385,10,28,40,2020-01-22
386,67,31,47,2020-01-22
387,30,1,46,2020-01-22
388,5,28,33,2020-01-23
389,15,30,23,2020-01-23
390,5,8,15,2020-01-23
391,24,20,22,2020-01-23
392,41,13,15,2020-01-23
393,85,15,22,2020-01-23
394,18,13,27,2020-01-23
395,44,15,17,2020-01-23
396,3,27,7,2020-01-24
397,50,9,29,2020-01-24
398,8,1,41,2020-01-24
399,21,9,20,2020-01-24
400,16,3,2,2020-01-24
401,86,6,12,2020-01-25
402,5,17,25,2020-01-25
403,16,28,23,2020-01-25
404,11,1,10,2020-01-25
405,5,4,11,2020-01-25
406,24,19,1,2020-01-25
407,87,1,5,2020-01-25
408,55,7,9,2020-01-25
409,16,28,24,2020-01-25
410,5,15,41,2020-01-26
411,24,4,24,2020-01-26
412,44,10,23,2020-01-26
413,2,4,5,2020-01-26
414,55,28,40,2020-01-26
415,3,14,2,2020-01-26
416,1,2,26,2020-01-26
417,17,11,32,2020-01-26
418,88,8,19,2020-01-26
419,44,4,49,2020-01-26
420,26,6,43,2020-01-27
421,7,31,45,2020-01-27
422,54,4,40,2020-01-27
423,89,1,33,2020-01-27
424,4,12,12,2020-01-27
425,5,14,21,2020-01-27
426,54,17,42,2020-01-27
427,37,13,48,2020-01-27
428,5,8,19,2020-01-27
429,33,6,27,2020-01-28
430,54,31,9,2020-01-28
431,61,13,46,2020-01-28
432,27,15,41,2020-01-28
433,55,7,38,2020-01-28
434,30,27,21,2020-01-28
435,55,28,1,2020-01-28
436,5,20,46,2020-01-28
437,43,25,19,2020-01-29
438,8,17,6,2020-01-29
439,66,24,5,2020-01-29
440,8,18,9,2020-01-29
441,8,30,6,2020-01-29
442,3,19,28,2020-01-29
443,29,2,45,2020-01-29
444,3,28,32,2020-01-29
445,56,16,38,2020-01-29
446,6,18,47,2020-01-29
447,37,7,12,2020-01-29
448,5,16,22,2020-01-30
449,26,15,23,2020-01-30
450,51,4,37,2020-01-30
451,71,8,40,2020-01-30
452,50,30,43,2020-01-30
453,36,8,28,2020-01-30
454,14,16,39,2020-01-30
455,16,1,50,2020-01-30
456,50,19,30,2020-01-31
457,75,8,41,2020-01-31
458,55,15,36,2020-01-31
459,26,3,32,2020-01-31
460,16,10,23,2020-01-31
461,29,27,8,2020-01-31
462,3,31,30,2020-01-31
463,1,8,8,2020-01-31
464,5,2,10,2020-01-31
465,8,14,23,2020-01-31
466,5,23,40,2020-02-01
467,53,8,40,2020-02-01
468,16,2,6,2020-02-01
469,71,16,49,2020-02-01
470,59,3,46,2020-02-01
471,19,14,42,2020-02-01
472,89,9,34,2020-02-01
473,33,13,43,2020-02-01
474,66,24,8,2020-02-02
475,1,15,31,2020-02-02
476,5,29,15,2020-02-02
477,75,5,23,2020-02-02
478,29,16,44,2020-02-02
479,27,25,15,2020-02-02
480,76,4,26,2020-02-02
481,8,28,29,2020-02-02
482,16,12,9,2020-02-03
483,50,9,17,2020-02-03
484,8,1,9,2020-02-03
485,26,20,1,2020-02-03
486,26,4,31,2020-02-03
487,8,30,5,2020-02-03
488,35,25,14,2020-02-03
489,88,16,13,2020-02-03
490,18,28,46,2020-02-03
491,90,8,24,2020-02-03
492,42,28,7,2020-02-04
493,26,11,31,2020-02-04
494,55,11,14,2020-02-04
495,39,20,19,2020-02-04
496,3,27,28,2020-02-04
497,51,9,5,2020-02-04
498,17,28,20,2020-02-04
499,25,13,48,2020-02-05
500,16,9,26,2020-02-05
501,6,1,38,2020-02-05
502,26,28,22,2020-02-05
503,8,1,1,2020-02-05
504,87,17,7,2020-02-05
505,16,9,39,2020-02-05
506,54,12,28,2020-02-05
507,3,14,40,2020-02-05
508,55,8,24,2020-02-05
509,71,2,31,2020-02-06
510,16,16,29,2020-02-06
511,42,15,39,2020-02-06
512,4,13,49,2020-02-06
513,10,3,11,2020-02-06
514,65,6,5,2020-02-06
515,29,1,28,2020-02-06
516,58,1,8,2020-02-06
517,72,8,36,2020-02-06
518,19,14,50,2020-02-06
519,87,4,42,2020-02-07
520,2,15,50,2020-02-07
521,8,8,41,2020-02-07
522,61,18,46,2020-02-07
523,10,7,3,2020-02-07
524,26,10,44,2020-02-07
525,65,12,26,2020-02-07
526,10,11,23,2020-02-07
527,12,18,50,2020-02-08
528,5,9,46,2020-02-08
529,5,18,48,2020-02-08
530,10,3,20,2020-02-09
531,43,28,49,2020-02-09
532,5,6,14,2020-02-09
533,19,21,15,2020-02-09
534,10,20,6,2020-02-09
535,75,14,24,2020-02-09
536,55,19,36,2020-02-09
537,5,15,33,2020-02-09
538,17,28,4,2020-02-09
539,91,23,11,2020-02-10
540,1,26,16,2020-02-10
541,8,14,2,2020-02-10
542,10,13,28,2020-02-10
543,30,31,12,2020-02-10
544,17,4,49,2020-02-10
545,92,23,4,2020-02-10
546,39,20,36,2020-02-10
547,50,6,21,2020-02-10
548,37,9,18,2020-02-11
549,86,24,13,2020-02-11
550,16,27,20,2020-02-11
551,5,13,19,2020-02-11
552,71,8,24,2020-02-11
553,5,28,5,2020-02-11
554,71,2,1,2020-02-12
555,13,8,48,2020-02-12
556,6,30,16,2020-02-12
557,14,15,19,2020-02-12
558,55,15,14,2020-02-12
559,10,15,30,2020-02-12
560,8,8,40,2020-02-12
561,15,27,23,2020-02-13
562,34,6,36,2020-02-13
563,39,14,19,2020-02-13
564,74,4,43,2020-02-13
565,26,16,24,2020-02-13
566,34,10,42,2020-02-13
567,86,26,7,2020-02-13
568,93,7,46,2020-02-13
569,26,6,35,2020-02-13
570,65,8,20,2020-02-13
571,67,17,16,2020-02-13
572,62,9,23,2020-02-13
573,53,7,33,2020-02-13
574,56,20,36,2020-02-13
575,1,9,23,2020-02-13
576,88,28,11,2020-02-13
577,56,31,48,2020-02-13
578,10,10,36,2020-02-14
579,5,6,46,2020-02-14
580,4,8,44,2020-02-14
581,66,2,50,2020-02-14
582,55,1,24,2020-02-14
583,16,1,32,2020-02-14
584,2,13,4,2020-02-14
585,94,27,36,2020-02-14
586,26,4,19,2020-02-15
587,63,15,21,2020-02-15
588,5,5,25,2020-02-15
589,22,29,3,2020-02-15
590,8,8,26,2020-02-15
591,72,15,43,2020-02-16
592,25,20,23,2020-02-16
593,4,9,36,2020-02-16
594,16,14,29,2020-02-16
595,57,6,23,2020-02-17
596,16,11,33,2020-02-17
597,56,5,18,2020-02-17
598,44,26,12,2020-02-17
599,79,1,50,2020-02-17
600,30,15,24,2020-02-17
601,19,17,41,2020-02-17
602,4,14,25,2020-02-17
603,92,8,42,2020-02-18
604,38,23,29,2020-02-18
605,95,9,17,2020-02-18
606,8,12,41,2020-02-18
607,34,18,36,2020-02-18
608,88,6,45,2020-02-18
609,56,14,1,2020-02-18
610,96,27,18,2020-02-18
611,97,28,10,2020-02-18
612,50,12,34,2020-02-18
613,98,3,5,2020-02-18
614,26,27,3,2020-02-19
615,77,8,25,2020-02-19
616,19,16,25,2020-02-19
617,16,6,32,2020-02-19
618,12,9,47,2020-02-19
619,92,22,15,2020-02-19
620,4,11,2,2020-02-19
621,24,18,8,2020-02-20
622,5,17,7,2020-02-20
623,36,30,38,2020-02-20
624,45,1,50,2020-02-20
625,34,8,12,2020-02-20
626,8,12,30,2020-02-20
627,70,20,28,2020-02-20
628,50,14,20,2020-02-20
629,91,15,29,2020-02-20
630,8,1,36,2020-02-21
631,16,4,42,2020-02-21
632,68,14,13,2020-02-21
633,7,28,17,2020-02-21
634,41,31,16,2020-02-21
635,51,12,10,2020-02-21
636,5,29,9,2020-02-22
637,8,28,14,2020-02-22
638,13,6,5,2020-02-22
639,34,13,39,2020-02-22
640,5,27,29,2020-02-22
641,5,1,38,2020-02-22
642,16,10,38,2020-02-22
643,66,8,21,2020-02-22
644,8,16,14,2020-02-22
645,55,15,24,2020-02-22
646,42,18,29,2020-02-22
647,26,10,26,2020-02-22
648,26,8,20,2020-02-23
649,3,14,38,2020-02-23
650,68,20,10,2020-02-23
651,9,8,16,2020-02-23
652,90,29,45,2020-02-23
653,29,16,44,2020-02-23
654,21,30,20,2020-02-24
655,1,10,46,2020-02-24
656,97,15,5,2020-02-24
657,64,26,3,2020-02-24
658,19,9,5,2020-02-24
659,49,8,27,2020-02-24
660,8,11,19,2020-02-24
661,45,18,2,2020-02-24
662,17,19,48,2020-02-24
663,7,6,49,2020-02-24
664,81,6,49,2020-02-25
665,19,20,24,2020-02-25
666,15,27,6,2020-02-25
667,55,26,30,2020-02-25
668,5,6,11,2020-02-25
669,11,5,48,2020-02-25
670,44,28,18,2020-02-25
671,24,4,45,2020-02-25
672,26,8,18,2020-02-25
673,55,2,49,2020-02-25
674,99,8,11,2020-02-25
675,71,13,6,2020-02-26
676,50,30,22,2020-02-26
677,99,13,35,2020-02-26
678,8,19,32,2020-02-26
679,8,9,25,2020-02-26
680,75,19,23,2020-02-26
681,85,8,13,2020-02-26
682,21,31,34,2020-02-26
683,42,9,49,2020-02-26
684,8,1,39,2020-02-26
685,1,27,14,2020-02-26
686,5,9,9,2020-02-27
687,100,28,8,2020-02-27
688,8,4,17,2020-02-27
689,62,11,5,2020-02-27
690,50,2,12,2020-02-27
691,6,28,11,2020-02-27
692,24,10,2,2020-02-27
693,16,18,40,2020-02-27
694,5,30,44,2020-02-27
695,50,11,4,2020-02-27
696,5,27,18,2020-02-27
697,58,15,7,2020-02-28
698,26,20,15,2020-02-28
699,9,9,39,2020-02-28
700,5,13,49,2020-02-28
701,35,3,9,2020-02-28
702,75,7,23,2020-02-28
703,1,1,37,2020-02-28
704,83,18,23,2020-02-29
705,99,13,7,2020-02-29
706,16,9,34,2020-02-29
707,10,4,5,2020-02-29
708,100,9,37,2020-02-29
709,5,28,11,2020-02-29
710,23,30,37,2020-02-29
711,5,24,2,2020-02-29
712,77,27,28,2020-02-29
713,26,6,24,2020-03-01
714,1,15,20,2020-03-01
715,47,27,25,2020-03-01
716,4,15,48,2020-03-01
717,16,2,46,2020-03-01
718,5,10,31,2020-03-01
719,63,6,11,2020-03-01
720,5,13,15,2020-03-02
721,7,13,38,2020-03-02
722,4,29,21,2020-03-02
723,5,1,12,2020-03-02
724,23,27,40,2020-03-02
725,58,31,7,2020-03-02
726,29,2,21,2020-03-02
727,76,20,20,2020-03-02
728,79,23,19,2020-03-02
729,82,27,11,2020-03-02
730,50,10,1,2020-03-02
731,81,23,3,2020-03-03
732,2,15,33,2020-03-03
733,18,9,6,2020-03-03
734,1,4,40,2020-03-03
735,6,7,37,2020-03-03
736,5,10,30,2020-03-03
737,24,12,28,2020-03-04
738,44,15,38,2020-03-04
739,14,17,1,2020-03-04
740,28,19,22,2020-03-04
741,78,19,17,2020-03-04
742,8,30,26,2020-03-04
743,5,1,2,2020-03-04
744,48,1,37,2020-03-04
745,55,22,5,2020-03-04
746,41,6,8,2020-03-05
747,4,1,45,2020-03-05
748,16,9,10,2020-03-05
749,16,28,5,2020-03-05
750,71,8,16,2020-03-05
751,19,16,28,2020-03-05
752,88,12,17,2020-03-05
753,5,25,41,2020-03-05
754,26,20,40,2020-03-06
755,39,3,1,2020-03-06
756,26,9,28,2020-03-06
757,75,1,41,2020-03-06
758,10,8,40,2020-03-06
759,50,3,34,2020-03-07
760,5,1,12,2020-03-07
761,78,6,9,2020-03-07
762,5,26,42,2020-03-07
763,20,1,7,2020-03-08
764,5,15,4,2020-03-08
765,13,8,48,2020-03-08
766,33,5,28,2020-03-08
767,10,15,31,2020-03-08
768,43,29,4,2020-03-08
769,97,7,49,2020-03-08
770,21,10,45,2020-03-08
771,52,9,35,2020-03-09
772,30,13,45,2020-03-09
773,8,8,24,2020-03-10
774,69,28,7,2020-03-10
775,20,24,38,2020-03-10
776,60,11,23,2020-03-10
777,8,8,6,2020-03-11
778,57,10,43,2020-03-11
779,5,12,24,2020-03-11
780,65,13,31,2020-03-11
781,88,22,5,2020-03-11
782,63,17,26,2020-03-11
783,32,6,3,2020-03-11
784,8,15,35,2020-03-11
785,11,24,27,2020-03-12
786,65,27,46,2020-03-12
787,18,2,44,2020-03-12
788,38,1,14,2020-03-12
789,5,30,15,2020-03-12
790,56,2,7,2020-03-12
791,24,9,9,2020-03-12
792,16,1,14,2020-03-12
793,55,1,17,2020-03-12
794,19,18,37,2020-03-12
795,16,12,50,2020-03-13
796,26,8,8,2020-03-13
797,21,16,10,2020-03-13
798,45,1,5,2020-03-13
799,52,6,11,2020-03-13
800,19,9,31,2020-03-13
801,39,11,16,2020-03-13
802,7,7,5,2020-03-14
803,17,3,23,2020-03-14
804,90,14,11,2020-03-14
805,78,9,26,2020-03-14
806,6,15,17,2020-03-14
807,26,28,27,2020-03-14
808,92,31,41,2020-03-14
809,8,5,8,2020-03-14
810,51,6,10,2020-03-15
811,79,4,15,2020-03-15
812,14,13,11,2020-03-15
813,5,14,45,2020-03-15
814,52,27,46,2020-03-15
815,4,3,14,2020-03-15
816,61,15,21,2020-03-15
817,14,6,49,2020-03-15
818,85,7,35,2020-03-15
819,37,17,22,2020-03-15
820,5,16,10,2020-03-16
821,49,13,22,2020-03-16
822,16,9,21,2020-03-16
823,1,17,20,2020-03-17
824,5,27,4,2020-03-17
825,8,17,22,2020-03-17
826,11,9,4,2020-03-17
827,9,9,46,2020-03-17
828,7,8,9,2020-03-18
829,1,15,20,2020-03-18
830,55,31,8,2020-03-18
831,16,17,5,2020-03-18
832,29,30,23,2020-03-18
833,7,30,22,2020-03-18
834,29,3,42,2020-03-18
835,66,6,24,2020-03-18
836,18,19,5,2020-03-19
837,33,6,2,2020-03-19
838,30,10,5,2020-03-19
839,10,1,31,2020-03-19
840,19,11,28,2020-03-19
841,5,11,35,2020-03-19
842,10,9,37,2020-03-19
843,94,30,25,2020-03-19
844,24,21,13,2020-03-19
845,17,6,47,2020-03-19
846,4,30,8,2020-03-19
847,3,30,23,2020-03-19
848,14,16,31,2020-03-19
849,16,27,2,2020-03-19
850,4,16,2,2020-03-19
851,30,27,43,2020-03-20
852,78,22,26,2020-03-20
853,45,16,42,2020-03-20
854,57,5,35,2020-03-20
855,71,27,30,2020-03-20
856,56,4,7,2020-03-20
857,29,9,44,2020-03-20
858,32,10,29,2020-03-20
859,5,3,5,2020-03-20
860,23,3,13,2020-03-20
861,5,9,19,2020-03-20
862,5,30,14,2020-03-20
863,56,11,11,2020-03-21
864,72,8,25,2020-03-21
865,80,8,30,2020-03-21
866,56,12,43,2020-03-21
867,69,30,38,2020-03-21
868,100,4,4,2020-03-21
869,72,11,39,2020-03-21
870,6,14,18,2020-03-21
871,16,28,19,2020-03-21
872,89,8,2,2020-03-21
873,60,27,2,2020-03-22
874,99,31,18,2020-03-22
875,5,9,2,2020-03-22
876,13,4,25,2020-03-22
877,26,27,15,2020-03-22
878,5,20,33,2020-03-22
879,71,30,36,2020-03-22
880,19,3,19,2020-03-23
881,63,26,18,2020-03-23
882,63,8,21,2020-03-23
883,26,20,47,2020-03-23
884,79,23,31,2020-03-23
885,38,16,18,2020-03-23
886,44,6,19,2020-03-23
887,95,10,49,2020-03-23
888,5,13,31,2020-03-23
889,95,10,2,2020-03-24
890,16,27,6,2020-03-24
891,42,4,7,2020-03-24
892,5,19,49,2020-03-24
893,42,10,36,2020-03-24
894,55,28,33,2020-03-24
895,16,8,50,2020-03-24
896,27,14,47,2020-03-24
897,7,16,1,2020-03-24
898,29,8,13,2020-03-24
899,5,8,6,2020-03-24
900,78,27,19,2020-03-25
901,33,27,31,2020-03-25
902,7,30,13,2020-03-25
903,1,2,8,2020-03-25
904,7,28,24,2020-03-25
905,56,15,13,2020-03-25
906,26,14,35,2020-03-26
907,5,23,15,2020-03-26
908,2,18,48,2020-03-26
909,3,5,21,2020-03-26
910,52,18,11,2020-03-26
911,3,27,10,2020-03-26
912,15,11,3,2020-03-26
913,81,14,38,2020-03-26
914,71,30,50,2020-03-26
915,19,30,43,2020-03-26
916,10,13,17,2020-03-27
917,16,29,41,2020-03-27
918,87,8,30,2020-03-27
919,84,22,28,2020-03-27
920,96,5,47,2020-03-27
921,64,9,17,2020-03-27
922,8,28,35,2020-03-27
923,5,1,23,2020-03-27
924,16,15,45,2020-03-28
925,25,5,36,2020-03-28
926,6,9,28,2020-03-28
927,6,18,6,2020-03-28
928,19,15,26,2020-03-28
929,8,18,39,2020-03-28
930,16,4,24,2020-03-28
931,48,27,19,2020-03-28
